from_stop_id,to_stop_id,from_route_id,to_route_id,from_trip_id,to_trip_id,transfer_type,min_transfer_time
124,124,,,9292010,9291897,1,
124,124,,,9292013,9291901,1,
124,124,,,9291988,9291909,1,
124,124,,,9292020,9291909,1,
124,124,,,9292151,9291913,1,
124,124,,,9292151,9291918,1,
116,116,,,9291926,9291928,1,
124,124,,,9291926,9291928,1,
124,124,,,9292157,9291930,1,
116,116,,,9292042,9291933,1,
124,124,,,9292042,9291933,1,
124,124,,,9292044,9291933,1,
124,124,,,9292046,9291935,1,
116,116,,,9292000,9291938,1,
124,124,,,9292000,9291938,1,
124,124,,,9292049,9291938,1,
124,124,,,9292052,9291939,1,
124,124,,,9292053,9291940,1,
112,112,,,9291886,9291941,1,
124,124,,,9292055,9291942,1,
124,124,,,9292057,9291943,1,
124,124,,,9292060,9291946,1,
124,124,,,9292064,9291951,1,
124,124,,,9292066,9291953,1,
116,116,,,9292068,9291955,1,
124,124,,,9292068,9291955,1,
112,112,,,9291892,9291957,1,
124,124,,,9292070,9291958,1,
124,124,,,9292072,9291959,1,
116,116,,,9292074,9291961,1,
124,124,,,9292074,9291961,1,
116,116,,,9292078,9291964,1,
124,124,,,9292078,9291964,1,
116,116,,,9292079,9291965,1,
124,124,,,9292079,9291965,1,
124,124,,,9292081,9291967,1,
124,124,,,9292084,9291971,1,
124,124,,,9292174,9291973,1,
124,124,,,9292087,9291975,1,
124,124,,,9292090,9291979,1,
124,124,,,9292091,9291981,1,
124,124,,,9292092,9291982,1,
124,124,,,9292018,9291986,1,
116,116,,,9292019,9291990,1,
124,124,,,9292019,9291990,1,
124,124,,,9292025,9291992,1,
124,124,,,9292158,9291998,1,
131,131,,,9292158,9291998,1,
124,124,,,9292049,9292000,1,
131,131,,,9292049,9292000,1,
124,124,,,9292120,9292000,1,
116,116,,,9292076,9292008,1,
124,124,,,9292076,9292008,1,
124,124,,,9292091,9292010,1,
131,131,,,9292091,9292010,1,
131,131,,,9292177,9292010,1,
124,124,,,9291900,9292012,1,
116,116,,,9291984,9292014,1,
124,124,,,9291984,9292014,1,
116,116,,,9291904,9292015,1,
124,124,,,9291904,9292015,1,
116,116,,,9291906,9292017,1,
124,124,,,9291906,9292017,1,
124,124,,,9291908,9292021,1,
116,116,,,9291910,9292023,1,
124,124,,,9291910,9292023,1,
124,124,,,9291912,9292024,1,
124,124,,,9291916,9292026,1,
124,124,,,9291919,9292028,1,
124,124,,,9291920,9292030,1,
124,124,,,9292154,9292031,1,
131,131,,,9292154,9292031,1,
124,124,,,9292182,9292031,1,
140,140,,,9292182,9292031,1,
124,124,,,9291922,9292032,1,
124,124,,,9291925,9292035,1,
116,116,,,9291926,9292036,1,
124,124,,,9291926,9292036,1,
124,124,,,9291927,9292037,1,
140,140,,,9292184,9292038,1,
124,124,,,9291929,9292039,1,
140,140,,,9292184,9292040,1,
124,124,,,9291931,9292041,1,
124,124,,,9291932,9292043,1,
116,116,,,9291934,9292045,1,
124,124,,,9291934,9292045,1,
116,116,,,9291936,9292047,1,
124,124,,,9291936,9292047,1,
108,108,,,9291884,9292048,1,
131,131,,,9292163,9292052,1,
124,124,,,9292123,9292053,1,
124,124,,,9291937,9292054,1,
124,124,,,9292125,9292057,1,
131,131,,,9292164,9292057,1,
124,124,,,9292127,9292060,1,
131,131,,,9292166,9292062,1,
124,124,,,9291945,9292063,1,
124,124,,,9292129,9292064,1,
124,124,,,9292130,9292066,1,
131,131,,,9292167,9292066,1,
124,124,,,9291948,9292067,1,
124,124,,,9292133,9292070,1,
140,140,,,9292188,9292070,1,
131,131,,,9292169,9292072,1,
124,124,,,9291954,9292073,1,
124,124,,,9291957,9292073,1,
124,124,,,9291960,9292075,1,
124,124,,,9291963,9292077,1,
131,131,,,9292171,9292079,1,
140,140,,,9292190,9292079,1,
124,124,,,9291966,9292080,1,
124,124,,,9291968,9292082,1,
124,124,,,9291970,9292083,1,
124,124,,,9292141,9292084,1,
124,124,,,9291972,9292085,1,
124,124,,,9291974,9292086,1,
140,140,,,9292192,9292087,1,
124,124,,,9291976,9292088,1,
124,124,,,9291978,9292089,1,
124,124,,,9292146,9292090,1,
124,124,,,9292147,9292091,1,
124,124,,,9291983,9292093,1,
124,124,,,9292149,9292093,1,
124,124,,,9292021,9292104,1,
124,124,,,9292024,9292105,1,
124,124,,,9292026,9292106,1,
124,124,,,9292028,9292108,1,
124,124,,,9292032,9292110,1,
124,124,,,9292035,9292112,1,
124,124,,,9292039,9292114,1,
124,124,,,9292043,9292116,1,
124,124,,,9291948,9292132,1,
124,124,,,9291957,9292134,1,
124,124,,,9292080,9292139,1,
124,124,,,9292083,9292140,1,
124,124,,,9292086,9292143,1,
124,124,,,9292092,9292148,1,
131,131,,,9292015,9292150,1,
131,131,,,9292021,9292152,1,
131,131,,,9291991,9292153,1,
131,131,,,9292028,9292155,1,
131,131,,,9292035,9292156,1,
124,124,,,9292043,9292159,1,
131,131,,,9292043,9292159,1,
124,124,,,9292048,9292161,1,
131,131,,,9292048,9292161,1,
124,124,,,9291948,9292168,1,
131,131,,,9292073,9292170,1,
131,131,,,9292085,9292173,1,
140,140,,,9292015,9292179,1,
140,140,,,9292024,9292180,1,
140,140,,,9292048,9292185,1,
140,140,,,9292051,9292185,1,
140,140,,,9292073,9292189,1,
140,140,,,9292085,9292191,1,
